,time,close,high,low,open,volume,baseVolume,datetime
183,1593158400,9135.33,9167.33,9112.04,9146.09,2404.29,21976935.75,2020-06-26 08:00:00
184,1593162000,9212.67,9240.0,9091.55,9135.33,3979.79,36465603.48,2020-06-26 09:00:00
185,1593165600,9217.27,9256.75,9193.05,9212.67,2168.51,20003457.37,2020-06-26 10:00:00
186,1593169200,9189.38,9223.19,9151.91,9217.27,1758.02,16150056.25,2020-06-26 11:00:00
187,1593172800,9207.99,9220.0,9183.5,9189.38,2019.08,18581250.66,2020-06-26 12:00:00
188,1593176400,9151.78,9232.5,9141.0,9207.99,1940.81,17837382.45,2020-06-26 13:00:00
189,1593180000,9089.25,9157.1,9045.45,9151.78,5743.83,52220640.52,2020-06-26 14:00:00
190,1593183600,9152.01,9210.0,9080.0,9089.25,3750.19,34343279.45,2020-06-26 15:00:00
191,1593187200,9147.29,9158.55,9091.0,9152.01,2248.31,20526642.83,2020-06-26 16:00:00
192,1593190800,9153.83,9176.88,9142.1,9147.29,1350.93,12379216.63,2020-06-26 17:00:00
193,1593194400,9141.2,9181.61,9137.33,9153.83,1283.85,11754525.86,2020-06-26 18:00:00
194,1593198000,9166.8,9170.0,9130.69,9141.2,1558.08,14264274.56,2020-06-26 19:00:00
195,1593201600,9193.72,9218.0,9166.8,9166.8,1971.85,18131497.03,2020-06-26 20:00:00
196,1593205200,9176.75,9215.0,9174.52,9193.72,875.37,8050401.98,2020-06-26 21:00:00
197,1593208800,9172.07,9201.19,9160.09,9176.75,928.25,8526389.91,2020-06-26 22:00:00
198,1593212400,9162.21,9178.79,9147.85,9172.07,959.93,8797531.03,2020-06-26 23:00:00
199,1593216000,9145.77,9169.74,9116.8,9162.21,1605.73,14669562.68,2020-06-27 00:00:00
200,1593219600,9151.23,9158.26,9105.0,9145.77,1083.27,9894940.86,2020-06-27 01:00:00
201,1593223200,9145.63,9159.66,9120.51,9151.23,943.73,8620999.63,2020-06-27 02:00:00
202,1593226800,9160.25,9187.15,9133.18,9145.63,877.0,8036139.19,2020-06-27 03:00:00
203,1593230400,9159.61,9179.57,9134.48,9160.25,942.84,8631818.9,2020-06-27 04:00:00
204,1593234000,9169.96,9175.0,9142.85,9159.61,638.36,5848578.9,2020-06-27 05:00:00
205,1593237600,9184.78,9196.24,9150.26,9169.96,1084.34,9953232.23,2020-06-27 06:00:00
206,1593241200,9174.25,9190.0,9162.03,9184.78,824.16,7561409.06,2020-06-27 07:00:00
207,1593244800,9168.96,9196.0,9155.02,9174.25,959.08,8801886.98,2020-06-27 08:00:00
208,1593248400,9143.57,9170.27,9120.0,9168.96,1473.28,13483721.91,2020-06-27 09:00:00
209,1593252000,9142.78,9165.0,9136.19,9143.57,1206.51,11039183.62,2020-06-27 10:00:00
210,1593255600,9159.97,9184.38,9128.07,9142.78,1540.15,14098364.62,2020-06-27 11:00:00
211,1593259200,9164.38,9176.81,9145.56,9159.97,895.38,8202454.7,2020-06-27 12:00:00
212,1593262800,9157.49,9178.16,9145.0,9164.38,1114.2,10210253.18,2020-06-27 13:00:00
213,1593266400,9147.99,9165.08,9128.44,9157.49,1136.71,10402138.26,2020-06-27 14:00:00
214,1593270000,9130.76,9168.48,9113.0,9147.99,1656.8,15146781.93,2020-06-27 15:00:00
215,1593273600,9101.41,9139.98,9066.66,9130.76,3917.66,35634073.35,2020-06-27 16:00:00
216,1593277200,9080.29,9149.49,9055.0,9101.41,2593.9,23594908.68,2020-06-27 17:00:00
217,1593280800,9087.77,9108.0,9059.68,9080.29,1407.37,12791246.48,2020-06-27 18:00:00
218,1593284400,8938.04,9102.74,8833.0,9087.77,8584.1,76886882.17,2020-06-27 19:00:00
219,1593288000,8953.14,8994.7,8900.22,8938.04,5294.98,47445122.44,2020-06-27 20:00:00
220,1593291600,9062.99,9099.0,8945.17,8953.14,2204.12,19839643.07,2020-06-27 21:00:00
221,1593295200,8972.99,9078.07,8961.64,9062.99,2613.23,23564681.81,2020-06-27 22:00:00
222,1593298800,9012.0,9046.7,8940.15,8972.99,1694.03,15248777.59,2020-06-27 23:00:00
223,1593302400,8982.51,9015.0,8956.06,9012.0,1523.67,13687225.72,2020-06-28 00:00:00
224,1593306000,8971.8,8993.11,8948.06,8982.51,1222.48,10964814.12,2020-06-28 01:00:00
225,1593309600,8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:00:00
226,1593313200,8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 03:00:00
227,1593316800,8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 04:00:00
228,1593320400,8961.59,8978.91,8961.21,8971.8,587.24,5267909.63,2020-06-28 05:00:00
229,1593324000,9019.81,9024.2,8961.28,8961.59,1407.26,12663123.75,2020-06-28 06:00:00
230,1593327600,9023.09,9034.65,8990.97,9019.81,1234.85,11126785.83,2020-06-28 07:00:00
231,1593331200,9054.21,9082.0,9003.09,9023.09,2008.43,18153747.38,2020-06-28 08:00:00
232,1593334800,9075.01,9079.0,9041.53,9054.21,1716.6,15557178.79,2020-06-28 09:00:00
233,1593338400,9051.19,9083.57,9051.0,9075.01,1133.26,10274300.26,2020-06-28 10:00:00
234,1593342000,9052.81,9080.18,9037.23,9051.19,1326.29,12019763.13,2020-06-28 11:00:00
235,1593345600,9049.99,9067.39,9020.44,9052.81,1467.32,13266159.32,2020-06-28 12:00:00
236,1593349200,9053.98,9060.41,9037.99,9049.99,1028.37,9306664.59,2020-06-28 13:00:00
237,1593352800,9154.0,9179.05,9053.07,9053.98,4185.04,38217081.36,2020-06-28 14:00:00
238,1593356400,9159.42,9164.49,9130.83,9154.0,1789.75,16370437.16,2020-06-28 15:00:00
239,1593360000,9147.72,9191.0,9139.09,9159.42,1843.49,16898652.22,2020-06-28 16:00:00
240,1593363600,9155.85,9159.47,9118.01,9147.72,1351.65,12354345.77,2020-06-28 17:00:00
241,1593367200,9153.5,9168.98,9145.83,9155.85,738.67,6763896.74,2020-06-28 18:00:00
242,1593370800,9112.64,9170.0,9102.5,9153.5,1405.51,12848516.01,2020-06-28 19:00:00
243,1593374400,9114.26,9146.0,9090.0,9112.64,1242.19,11328825.63,2020-06-28 20:00:00
244,1593378000,9128.63,9132.85,9093.87,9114.26,743.69,6776615.19,2020-06-28 21:00:00
245,1593381600,9104.4,9134.56,9075.94,9128.63,1278.31,11627340.26,2020-06-28 22:00:00
246,1593385200,9116.35,9133.01,9088.15,9104.4,1454.11,13248292.07,2020-06-28 23:00:00
247,1593388800,9123.85,9136.66,9095.26,9116.35,981.62,8947408.69,2020-06-29 00:00:00
248,1593392400,9144.41,9145.0,9115.37,9123.85,1224.1,11177456.06,2020-06-29 01:00:00
249,1593396000,9128.49,9148.61,9122.59,9144.41,994.11,9079343.2,2020-06-29 02:00:00
250,1593399600,9097.01,9128.49,9083.52,9128.49,1113.04,10137257.9,2020-06-29 03:00:00
251,1593403200,9113.98,9124.12,9087.24,9097.01,951.72,8666016.17,2020-06-29 04:00:00
252,1593406800,9114.0,9134.24,9098.72,9113.98,1280.23,11672288.03,2020-06-29 05:00:00
253,1593410400,9087.49,9115.0,9079.09,9114.0,1446.23,13157179.97,2020-06-29 06:00:00
254,1593414000,9096.95,9112.42,9062.39,9087.49,2442.67,22201712.77,2020-06-29 07:00:00
255,1593417600,9094.71,9097.03,9061.26,9096.95,1958.9,17788323.11,2020-06-29 08:00:00
256,1593421200,9134.93,9142.0,9082.12,9094.71,1989.84,18128944.44,2020-06-29 09:00:00
257,1593424800,9115.78,9139.79,9102.42,9134.93,1448.47,13208542.77,2020-06-29 10:00:00
258,1593428400,9097.38,9115.78,9071.35,9115.78,2299.1,20897806.08,2020-06-29 11:00:00
259,1593432000,9103.1,9125.03,9080.87,9097.38,1757.89,16001402.39,2020-06-29 12:00:00
260,1593435600,9048.62,9103.9,9024.67,9103.1,3196.03,28928529.36,2020-06-29 13:00:00
261,1593439200,9065.17,9093.78,9045.76,9048.62,1854.87,16820129.85,2020-06-29 14:00:00
262,1593442800,9124.75,9135.36,9064.48,9065.17,2425.51,22075481.07,2020-06-29 15:00:00
263,1593446400,9122.05,9160.0,9102.03,9124.75,2199.49,20076228.43,2020-06-29 16:00:00
264,1593450000,9160.14,9164.69,9109.31,9122.05,2136.49,19526967.4,2020-06-29 17:00:00
265,1593453600,9142.17,9180.0,9135.1,9160.14,1603.77,14682331.04,2020-06-29 18:00:00
266,1593457200,9158.1,9160.27,9130.73,9142.17,1165.1,10656556.66,2020-06-29 19:00:00
267,1593460800,9184.97,9196.66,9146.91,9158.1,2059.69,18894503.93,2020-06-29 20:00:00
268,1593464400,9210.47,9236.0,9184.17,9184.97,2451.68,22593317.3,2020-06-29 21:00:00
269,1593468000,9184.21,9238.0,9177.41,9210.47,1913.17,17622907.98,2020-06-29 22:00:00
270,1593471600,9192.56,9197.79,9161.09,9184.21,1226.57,11265691.88,2020-06-29 23:00:00
